"あ","ア"
"あいそくろーんまっぷ","アイソクローン・マップ"
"あいそとーぷ","アイソトープ"
"あいそめがわ","逢初川"
"あいそめがわ","藍染川"
"あいぞめがわ","逢初川"
"あいぞめがわ","藍染川"
"あいそれーしょにずむ","アイソレーショニズム"
"あいそれーしょん","アイソレーション"
"あいそれーたー","アイソレーター"
"あいそれーと","アイソレート"
"あいだ","アイダ"
"あいだ","英田"
"あいたあしゃぶ","アイタアシャブ"
"あいたいなああのひとに","逢いたいなァあの人に"
"あいだぐい","間食い"
"あいたくちへぼたもち","開いた口へぼた餅"
"あいたくてあいたくて","逢いたくて逢いたくて"
"あいだぐん","英田郡"
"あいたげひと","共食者"
"あいたしゃぶ","アイタシャブ"
"あいだちょう","英田町"
"あいだにくまはらいせき","相谷熊原遺跡"
"あいだぶりゅえー","ＩＷＡ"
"あいだぶりゅえむしー","ＩＷＭＣ"
"あいだぶりゅしー","ＩＷＣ"
"あいだほ","アイダホ"
"あいだほぐん","アイダホ郡"
"あいだほしてぃー","アイダホシティー"
"あいだほしゅう","アイダホ州"
"あいち","愛知"
"あいちきかいこうぎょう","愛知機械工業"
"あいちぐん","愛知郡"
"あいちけん","愛知県"
"あいちゃんはおよめに","愛ちゃんはお嫁に"
"あいちょうしゅうかん","愛鳥週間"
"あいつ","あいつ"
"あいづこてつかい","会津小鉄会"
"あいづこま","会津駒"
"あいづこまがたけ","会津駒ヶ岳"
"あいっさけなぐん","アイッサケナ郡"
"あいづせんそう","会津戦争"
"あいづだいぶつ","会津大仏"
"あいづたかだまち","会津高田町"
"あいづにしかいどう","会津西街道"
"あいづぬり","会津塗"
"あいづばんげまち","会津坂下町"
"あいづひのはらえき","会津桧原駅"
"あいづひのはらえき","会津檜原駅"
"あいづほんごうまち","会津本郷町"
"あいづみさとまち","会津美里町"
"あいづろうそく","会津ロウソク"
"あいづわかまつし","会津若松市"
"あいであ","アイデア"
"あいでありすと","アイデアリスト"
"あいである","アイデアル"
"あいであるういすきー","アイデアル・ウヰスキー"
"あいてぃー","ＩＴ"
"あいでぃあーる","ＩＤＲ"
"あいてぃーいーあーる","ＩＴＥＲ"
"あいてぃーえー","ＩＴＡ"
"あいでぃえふ","ＩＤＦ"
"あいでぃえふ","ＩＤＦ"
"あいてぃーえる","ＩＴＬ"
"あいてぃーおー","ＩＴＯ"
"あいでぃかーど","ＩＤカード"
"あいてぃーしー","ＩＴＣ"
"あいてぃーしー","ＩＴＣ"
"あいてぃーしー","ＩＴＣ"
"あいでぃしー","ＩＤＣ"
"あいてぃす","アイティス"
"あいでぃたろっどとれいる","アイディタロッド・トレイル"
"あいてぃーてぃーえー","ＩＴＴＡ"
"あいてぃーぴー","ＩＴＰ"
"あいてぃーぶい","ＩＴＶ"
"あいてぃーゆー","ＩＴＵ"
"あいでぃんこ","アイディン湖"
"あいてにあむ","アイテニアム"
"あいてむ","アイテム"
"あいてーる","アイテール"
"あいでんこ","アイデン湖"
"あいでんてぃてぃー","アイデンティティー"
"あいとうちょう","愛東町"
"あいどぅん","アイドゥン"
"あいどぅんけん","アイドゥン県"
"あいとしをみつめて","愛と死をみつめて"
"あいどりんぐ","アイドリング"
"あいどりんぐすとっぷ","アイドリング・ストップ"
"あいどる","アイドル"
"あいどる","アイドル"
"あいなー","アイナー"
"あいなめ","アイナメ"
"あいなんちょう","愛南町"
"あいにく","生憎"
"あいぬのちち","アイヌの父"
"あいぬみんぞくとう","アイヌ民族党"
"あいぬみんぞくはくぶつかん","アイヌ民族博物館"
"あいねしぇるんく","アイネシェルンク"
"あいねず","藍鼠"
"あいねずみ","藍鼠"
"あいのあいさつ","愛のあいさつ"
"あいのえき","相野駅"
"あいのえき","愛野駅"
"あいのがっこう","愛の学校"
"あいのきせき","愛の奇跡"
"あいのさざなみ","愛のさざなみ"
"あいのさとこうえんえき","あいの里公園駅"
"あいのさんか","愛の賛歌"
"あいのすいちゅうか","愛の水中花"
"あいのたけ","間ノ岳"
"あいのないえき","相内駅"
"あいのないえき","相ノ内駅"
"あいのめもりー","愛のメモリー"
"あいのろまんす","愛のロマンス"
"あいば","合端"
"あいはぎ","相剥ぎ"
"あいばく","アイバク"
"あいばこう","愛馬行"
"あいばしんぐんか","愛馬進軍歌"
"あいばーびるぐん","アイバービル郡"
"あいはらえき","相原駅"
"あいばんほー","アイバンホー"
"あいびー","アイビー"
"あいびーあいびー","ＩＢＩＢ"
"あいぴーあどれす","ＩＰアドレス"
"あいぴーあーるえー","ＩＰＲＡ"
"あいぴーあーるえー","ＩＰｒＡ"
"あいびーあーるでぃ","ＩＢＲＤ"
"あいぴーいー","ＩＰＥ"
"あいびーえー","ＩＢＡ"
"あいびーえー","ＩＢＡ"
"あいびーえー","ＩＢＡ"
"あいびーえー","ＩＢＡ"
"あいびーえー","ＩＢＡ"
"あいびーえー","ＩＢＡ"
"あいぴーえー","ＩＰＡ"
"あいびーえむあーるぴーじー","ＩＢＭ－ＲＰＧ"
"あいびーえむかーど","ＩＢＭカード"
"あいぴーおー","ＩＰＯ"
"あいびーかっと","アイビーカット"
"あいびーかれっじ","アイビーカレッジ"
"あいびき","逢びき"
"あいびき","逢い引き"
"あいぴーしーしー","ＩＰＣＣ"
"あいびーすたいる","アイビースタイル"
"あいびーでぃ","ＩＢＤ"
"あいぴーでんわ","ＩＰ電話"
"あいぴーぴー","ＩＰＰ"
"あいぴーぴーえふ","ＩＰＰＦ"
"あいひまん","アイヒマン"
"あいびーむ","アイビーム"
"あいびょうか","愛猫家"
"あいびーりーぐ","アイビーリーグ"
"あいびーりーぐかっと","アイビーリーグ・カット"
"あいびーりーぐすたいる","アイビーリーグ・スタイル"
"あいびーるっく","アイビールック"
"あいひろっと","アイヒロット"
"あいひろーと","アイヒロート"
"あいぶいえふ","ＩＶＦ"
"あいふぉーん","ｉＰｈｏｎｅ"
"あいふる","アイフル"
"あいぶろー","アイブロー"
"あいぶろう","アイブロウ"
"あいべつりく","愛別離苦"
"あいべや","相部屋"
"あいぼ","アイボ"
"あいぽっど","アイポッド"
"あいぼりー","アイボリー"
"あいぼりーほわいと","アイボリーホワイト"
"あいまいもこ","曖昧模糊"
"あいまく","アイマク"
"あいまぐ","アイマグ"
"あいまって","相俟って"
"あいまる","相丸"
"あいみちょう","会見町"
"あいみーぶ","アイ・ミーブ"
"あいみるちゃ","藍海松茶"
"あいもーしょん","ｉモーション"
"あいもーど","ｉモード"
"あいやー","アイヤー"
"あいやど","相宿"
"あいゆ","アイユ"
"あいゆー","ＩＵ"
"あいゆーじーあーる","ＩＵＧＲ"
"あいゆーじーえす","ＩＵＧＳ"
"あいゆーじーじー","ＩＵＧＧ"
"あいゆーぴーえーしー","ＩＵＰＡＣ"
"あいら","姶良"
"あいらヴぁと","アイラヴァト"
"あいらぐん","姶良郡"
"あいらちょう","吾平町"
"あいらちょう","姶良町"
"あいらーばた","アイラーバタ"
"あいらばと","アイラバト"
"あいりす","アイリス"
"あいりっしゅかーらー","アイラッシュカーラー"
"あいりーん","アイリーン"
"あいりんちく","あいりん地区"
"あいる","アイル"
"あいるおぷぱーべっく","アイルオブパーベック"
"あいるさんち","アイル山地"
"あいるさんみゃく","アイル山脈"
"あいるしーと","アイルシート"
"あいるっくかんしょう","アイルック環礁"
"あいるらんど","アイルランド"
"あいるろふぃりあ","アイルロフィリア"
"あいるろふぉびあ","アイルロフォビア"
"あいれっと","アイレット"
"あいろ","隘路"
"あいろにー","アイロニー"
"あいろーね","アイローネ"
"あいろぼっと","アイロボット"
"あいろんがけ","アイロン掛け"
"あいろんぐん","アイロン郡"
"あいろんだい","アイロン台"
"あいわ","アイワ"
"あいわいばんくぎんこう","アイワイバンク銀行"
"あいん","アイン"
"あいんげふろれなーべじつ","アインゲフロレナーベジツ"
"あいんたぶ","アインタブ"
"あいんたーぶ","アインターブ"
"あいんでっかー","アインデッカー"
"あいんとらほと","アイントラホト"
"あいんはいと","アインハイト"
"あヴぁす","アヴァス"
"あヴぁたーら","アヴァターラ"
"あヴぁーるじん","アヴァール人"
"あヴぁーるぞく","アヴァール族"
"あヴぁんしあ","アヴァンシア"
"あヴぁんて","アヴァンテ"
"あヴぃけんな","アヴィケンナ"
"あヴぃせんな","アヴィセンナ"
"あヴぃにょん","アヴィニョン"
"あヴぃにょんのほしゅう","アヴィニョンの捕囚"
"あヴぃにょんのゆうしゅう","アヴィニョンの幽囚"
"あーうぃん","アーウィン"
"あーヴぃんぐ","アーヴィング"
"あうえー","アウエー"
"あうぇー","アウェー"
"あヴぇ","アヴェ"
"あうぇい","アウェイ"
"あヴぇすた","アヴェスタ"
"あヴぇまりあ","アヴェマリア"
"あうえるしゅてっと","アウエルシュテット"
"あうえるばっは","アウエルバッハ"
"あヴぇろえす","アヴェロエス"
"あうぇんちぬす","アウェンチヌス"
"あうえんぶるっがー","アウエンブルッガー"
"あうか","アウカ"
"あうぐすつす","アウグスツス"
"あうぐすとぅす","アウグストゥス"
"あうくすぶるく","アウクスブルク"
"あうぐすぶるく","アウグスブルク"
"あうぐりお","アウグリオ"
"あうげ","アウゲ"
"あうさふ","アウサフ"
"あうさん","アウ山"
"あうさんがて","アウサンガテ"
"あうしゅヴぃっつ","アウシュヴィッツ"
"あうしゅびっつ","アウシュビッツ"
"あうすとらりあ","アウストラリア"
"あうすとらりあ","アウストラリア"
"あうすとらりあん","アウストラリアン"
"あうたがみーぐん","アウタガミー郡"
"あうたーりみっつ","アウターリミッツ"
"あうたるきー","アウタルキー"
"あうでぃ","アウディ"
"あうど","アウド"
"あうとすとらーだ","アウトストラーダ"
"あうとそーしんぐ","アウトソーシング"
"あうとそーる","アウトソール"
"あうとどあ","アウトドア"
"あうとどあげーむ","アウトドアゲーム"
"あうとどあすぽーつ","アウトドアスポーツ"
"あうとどあらいふ","アウトドアライフ"
"あうとばっく","アウトバック"
"あうとばーん","アウトバーン"
"あうとぷっと","アウトプット"
"あうとらいん","アウトライン"
"あうとらいんふぉんと","アウトラインフォント"
"あうとらんだー","アウトランダー"
"あうとらんだー","アウトランダー"
"あうとりがー","アウトリガー"
"あうとりーち","アウトリーチ"
"あうとれっと","アウトレット"
"あうふびーだーぜーえん","アウフビーダーゼーエン"
"あうふへーべん","アウフヘーベン"
"あうゆいとくこくりつこうえん","アウユイトク国立公園"
"あうら","アウラ"
"あうらんがばーど","アウランガバード"
"あうらんがばーどけん","アウランガバード県"
"あうるだう","アウルダウ"
"あうれあ","アウレア"
"あうん","阿吽"
"あうんさん","アウン・サン"
"あえくにじんしゃ","敢国神社"
"あーえーげー","ＡＥＧ"
"あえたちばな","阿倍橘"
"あえちうす","アエチウス"
"あえねあすものがたり","アエネアス物語"
"あえねいす","アエネイス"
"あえばのえんしゅうじょう","饗庭野演習場"
"あえら","アエラ"
"あーえるでー","ＡＲＤ"
"あえろふろーと","アエロフロート"
"あえんてっぱん","亜鉛鉄板"
"あおあずき","アオアズキ"
"あおいうさぎ","蒼いうさぎ"
"あおいうさぎ","碧いうさぎ"
"あおいかなりあ","青いカナリア"
"あおいく","葵区"
"あおいこぞう","葵小僧"
"あおいさんみゃく","青い山脈"
"あおいせびろで","青い背広で"
"あおいたび","蒼い旅"
"あおいどもえ","葵巴"
"あおいとり","青い鳥"
"あおいなぎさ","青い渚"
"あおいぶらく","葵部落"
"あおいまつり","葵祭"
"あおいむぎ","青い麦"
"あおいめのにんぎょう","青い目の人形"
"あおいろ","青色"
"あおいろのほう","青色の袍"
"あおう","亜欧"
"あおうお","アオウオ"
"あおうしゅう","亜欧州"
"あおうたいりく","亜欧大陸"
"あおえき","粟生駅"
"あおえんどう","アオエンドウ"
"あおおに","青鬼"
"あおがきちょう","青垣町"
"あおがしま","青ヶ島"
"あおがしまむら","青ヶ島村"
"あおかづら","アオカヅラ"
"あおがみ","青紙"
"あおがり","青刈り"
"あおき","ＡＯＫＩ"
"あおきいせき","青木遺跡"
"あおきおおかみ","蒼き狼"
"あおきがはらじゅかい","青木ヶ原樹海"
"あおききんばりーじょうやく","青木キンバリー条約"
"あおききんばれーじょうやく","青木キンバレー条約"
"あおきむら","青木村"
"あおきん","青金"
"あおくも","あおくも"
"あおげ","アオゲ"
"あおげばとうとし","あふげば尊し"
"あおげら","アオゲラ"
"あおごめ","青米"
"あおさ","アオサ"
"あおざい","アオザイ"
"あおさぎ","青サギ"
"あおさび","青錆"
"あおじ","アオジ"
"あおじ","青地"
"あおしお","青潮"
"あおしとど","青鵐"
"あおしま","青島"
"あおしまえき","青島駅"
"あおじゃしん","青写真"
"あおしらつるばみ","青白橡"
"あおす","アオス"
"あおす","アオス"
"あおすざっつ","アオスザッツ"
"あおすた","アオスタ"
"あおせきめん","青石綿"
"あおせん","青線"
"あおせんくいき","青線区域"
"あおせんちたい","青線地帯"
"あおそ","青麻"
"あおそこひ","青底翳"
"あおぞら","碧空"
"あおたがい","青田買い"
"あおたがり","青田刈り"
"あおたく","青タク"
"あおだけいろ","青竹色"
"あおたにちょう","青谷町"
"あおと","青戸"
"あおと","青砥"
"あおとえき","青砥駅"
"あおないる","青ナイル"
"あおないるしゅう","青ナイル州"
"あおにび","青鈍"
"あおのどうくつ","青の洞窟"
"あおのどうもん","青ノ洞門"
"あおのみねさん","青峰山"
"あおのやま","青野山"
"あおのりゅうぜつらん","アオノリュウゼツラン"
"あおば","青葉"
"あおばく","青葉区"
"あおばじょう","青葉城"
"あおばじょうこいうた","青葉城恋唄"
"あおばす","青バス"
"あおばずく","アオバズク"
"あおばだいえき","青葉台駅"
"あおばと","アオバト"
"あおばな","アオバナ"
"あおばな","青花"
"あおばながみ","青花紙"
"あおばやま","青葉山"
"あおび","青火"
"あおひげ","青ひげ"
"あおひとくさ","青人草"
"あおひとぐさ","青人草"
"あおふ","アオフ"
"あおふどう","青不動"
"あおべら","アオベラ"
"あおほりえき","青堀駅"
"あおまい","青米"
"あおみ","青海"
"あおみどり","青緑"
"あおむらさき","青紫"
"あおめ","青目"
"あおもち","青餅"
"あおものいち","青物市"
"あおものいちば","青物市場"
"あおもみじ","青紅葉"
"あおもり","青森"
"あおもりくうしゅう","青森空襲"
"あおもりけん","青森県"
"あおもりこうりつだいがく","青森公立大学"
"あおもりし","青森市"
"あおもりだいがく","青森大学"
"あおもりまんてま","アオモリマンテマ"
"あおや","青谷"
"あおや","青屋"
"あおやかみじちいせき","青谷上寺地遺跡"
"あおやき","青焼き"
"あおやぎ","青柳"
"あおやぎえき","青柳駅"
"あおやぎぶんこ","青柳文庫"
"あおやだいく","青屋大工"
"あおやちょう","青谷町"
"あおやなぎ","青柳"
"あおやま","青山"
"あおやま","青山"
"あおやまえんけいげきじょう","青山円形劇場"
"あおやまがくいんだいがく","青山学院大学"
"あおやまげきじょう","青山劇場"
"あおやまごしょ","青山御所"
"あおやましはんがっこう","青山師範学校"
"あおやましょうじ","青山商事"
"あおやまちょう","青山町"
"あおやまぶき","青山吹"
"あおやまぼち","青山墓地"
"あおやまれいえん","青山霊園"
"あおらき","アオラキ"
"あおらんぎ","アオランギ"
"あおりれんず","煽りレンズ"
"あが","アガ"
"あが","アガ"
"あがあが","アガアガ"
"あかあり","アカアリ"
"あかいいと","赤い糸"
"あかいくつ","赤い靴"
"あかいけまち","赤池町"
"あかいしあいのたけ","赤石間ノ岳"
"あかいしさんみゃく","赤石山脈"
"あかいしだけ","赤石岳"
"あかいじてんしゃ","赤い自転車"
"あかいしんにょ","赤い信女"
"あかいすいとぴー","赤いスイトピー"
"あかいちごう","赤一号"
"あかいとり","赤い鳥"
"あかいとりことり","赤い鳥小鳥"
"あかいはいひーる","赤いハイヒール"
"あーかいばる","アーカイバル"
"あかいはんかち","赤いハンカチ"
"あーかいぶ","アーカイブ"
"あかいふうせん","赤い風船"
"あかいらんぷのしゅうれっしゃ","赤いランプの終列車"
"あーがいる","アーガイル"
"あーがいるしゃーしゅう","アーガイルシャー州"
"あーがいるしゅう","アーガイル州"
"あかいわ","赤磐"
"あかいわえき","赤岩駅"
"あかいわぐん","赤磐郡"
"あかいわし","赤磐市"
"あかうし","赤丑"
"あかうそ","赤鷽"
"あかうんたびりてぃー","アカウンタビリティー"
"あかうんとあぐりげーしょんさーびす","アカウント・アグリゲーション・サービス"
"あかえびちゃ","紅海老茶"
"あかおおかみ","アカオオカミ"
"あかおかちょう","赤岡町"
"あかおに","赤鬼"
"あかおのまめたん","赤尾の豆単"
"あかがい","アカガイ"
"あかがい","赤貝"
"あかがね","銅"
"あかがみ","赤紙"
"あかがり","赤狩り"
"あかぎ","赤来"
"あかぎ","赤城"
"あかぎおおぬま","赤城大沼"
"あかぎさん","赤城山"
"あかぎしぐれ","赤城しぐれ"
"あかぎだいこうとうがっこう","赤城台高等学校"
"あかぎちょう","赤来町"
"あかぎにゅうぎよう","赤城乳業"
"あかぎのこもりうた","赤城の子守唄"
"あかぎむら","赤城村"
"あかぎやしょうけん","赤木屋証券"
"あかぎやま","赤城山"
"あかぎれ","皸"
"あかくちば","赤朽葉"
"あかくなやま","赤久縄山"
"あかぐなやま","赤久縄山"
"あかぐま","アカグマ"
"あかくみ","淦汲み"
"あかくらおんせんえき","赤倉温泉駅"
"あかくらげ","アカクラゲ"
"あかげ","赤毛"
"あかげっと","赤ゲット"
"あかげのあん","赤毛のアン"
"あかげら","アカゲラ"
"あかこう","赤香"
"あかごのうでをねじる","赤子の腕をねじる"
"あかごのてをねじる","赤子の手をねじる"
"あかごのてをひねる","赤子の手をひねる"
"あかごめ","赤米"
"あがさ","アガサ"
"あかさか","赤坂"
"あかさかえき","赤坂駅"
"あかさかく","赤坂区"
"あかさかくいちがいのへん","赤坂喰違の変"
"あかさかじゅく","赤坂宿"
"あかさかちょう","赤坂町"
"あかさかみつけえき","赤坂見附駅"
"あかさぎ","赤サギ"
"あかさきちょう","赤碕町"
"あがさくりすてぃ","アガサ・クリスティ"
"あかさんご","アカサンゴ"
"あかし","明石"
"あがし","アガシ"
"あかしあであるばた","アカシア・デアルバタ"
"あかしあのあめがやむとき","アカシアの雨がやむとき"
"あかしあべいれやな","アカシア・ベイレヤナ"
"あかしえき","明石駅"
"あがしおん","アガシオン"
"あかしし","明石市"
"あかしなまち","明科町"
"あかしまめのう","紅縞メノウ"
"あーかーしゃ","アーカーシャ"
"あーかーしゃがるば","アーカーシャガルバ"
"あかしゅ","アカシュ"
"あかしんぶん","赤新聞"
"あーがす","アーガス"
